Filename,ClassName
./imgs\train\c0\img_100026.jpg,c0
./imgs\train\c0\img_10003.jpg,c0
./imgs\train\c0\img_100050.jpg,c0
./imgs\train\c0\img_100074.jpg,c0
./imgs\train\c0\img_10012.jpg,c0
./imgs\train\c0\img_100145.jpg,c0
./imgs\train\c0\img_100191.jpg,c0
./imgs\train\c0\img_100257.jpg,c0
./imgs\train\c0\img_100312.jpg,c0
./imgs\train\c0\img_100337.jpg,c0
./imgs\train\c0\img_100456.jpg,c0
./imgs\train\c0\img_1005.jpg,c0
./imgs\train\c0\img_10053.jpg,c0
./imgs\train\c0\img_100542.jpg,c0
./imgs\train\c0\img_100598.jpg,c0
./imgs\train\c0\img_100605.jpg,c0
./imgs\train\c0\img_100656.jpg,c0
./imgs\train\c0\img_100665.jpg,c0
./imgs\train\c0\img_100796.jpg,c0
./imgs\train\c0\img_100824.jpg,c0
./imgs\train\c0\img_100828.jpg,c0
./imgs\train\c0\img_10092.jpg,c0
./imgs\train\c0\img_100922.jpg,c0
./imgs\train\c0\img_101015.jpg,c0
./imgs\train\c0\img_101032.jpg,c0
./imgs\train\c0\img_101091.jpg,c0
./imgs\train\c0\img_101113.jpg,c0
./imgs\train\c0\img_101159.jpg,c0
./imgs\train\c0\img_101175.jpg,c0
./imgs\train\c0\img_101196.jpg,c0
./imgs\train\c0\img_101223.jpg,c0
./imgs\train\c0\img_101286.jpg,c0
./imgs\train\c0\img_101383.jpg,c0
./imgs\train\c0\img_101392.jpg,c0
./imgs\train\c0\img_10141.jpg,c0
./imgs\train\c0\img_101414.jpg,c0
./imgs\train\c0\img_101419.jpg,c0
./imgs\train\c0\img_101498.jpg,c0
./imgs\train\c0\img_101555.jpg,c0
./imgs\train\c0\img_101609.jpg,c0
./imgs\train\c0\img_101613.jpg,c0
./imgs\train\c0\img_101668.jpg,c0
./imgs\train\c0\img_10167.jpg,c0
./imgs\train\c0\img_101673.jpg,c0
./imgs\train\c0\img_101702.jpg,c0
./imgs\train\c0\img_10175.jpg,c0
./imgs\train\c0\img_101785.jpg,c0
./imgs\train\c0\img_101859.jpg,c0
./imgs\train\c0\img_101938.jpg,c0
./imgs\train\c0\img_102025.jpg,c0
./imgs\train\c0\img_10206.jpg,c0
./imgs\train\c0\img_102087.jpg,c0
./imgs\train\c0\img_10225.jpg,c0
./imgs\train\c0\img_10307.jpg,c0
./imgs\train\c0\img_10314.jpg,c0
./imgs\train\c0\img_10321.jpg,c0
./imgs\train\c0\img_10327.jpg,c0
./imgs\train\c0\img_1039.jpg,c0
./imgs\train\c0\img_104.jpg,c0
./imgs\train\c0\img_10446.jpg,c0
./imgs\train\c0\img_10514.jpg,c0
./imgs\train\c0\img_1053.jpg,c0
./imgs\train\c0\img_10570.jpg,c0
./imgs\train\c0\img_10582.jpg,c0
./imgs\train\c0\img_10609.jpg,c0
./imgs\train\c0\img_10617.jpg,c0
./imgs\train\c0\img_10627.jpg,c0
./imgs\train\c0\img_1063.jpg,c0
./imgs\train\c0\img_10651.jpg,c0
./imgs\train\c0\img_10652.jpg,c0
./imgs\train\c0\img_10662.jpg,c0
./imgs\train\c0\img_10704.jpg,c0
./imgs\train\c0\img_10710.jpg,c0
./imgs\train\c0\img_10741.jpg,c0
./imgs\train\c0\img_1078.jpg,c0
./imgs\train\c0\img_10792.jpg,c0
./imgs\train\c0\img_1083.jpg,c0
